,item,commod,sell_price,demand,system,ly,station,ls,faction,allegiance,state,margin,supply
1,Palladium,45,14148,88105,Sauraratec,19.9229227665646,Murakami Ring,88125,Chapterhouse of Inquisition,Empire,Boom,1604,2
2,Palladium,45,14148,88105,Sauraratec,19.9229227665646,Murakami Ring,88127,Chapterhouse of Inquisition,Empire,Boom,1732,1
3,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88125,Chapterhouse of Inquisition,Empire,None,1872,1
4,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88120,Chapterhouse of Inquisition,Empire,Election,1872,1
5,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88115,Chapterhouse of Inquisition,Empire,Election,1872,1
6,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88115,Chapterhouse of Inquisition,Empire,Election,1744,1
7,Palladium,45,14283,63063,Sauraratec,19.9229227665646,Murakami Ring,88117,Chapterhouse of Inquisition,Empire,None,1739,2
8,Palladium,45,14146,408468,Wayutabal,18.1234374326451,Babakin Port,1114,Wayutabal Empire Pact,Empire,War,1602,2
9,Palladium,45,14145,2641,HIP 19327,17.5644460665573,Alfven Gateway,330703,League of HIP 19327 Justice Party,Empire,War,1601,2
10,Palladium,45,14145,2641,HIP 19327,17.5644460665573,Alfven Gateway,330703,League of HIP 19327 Justice Party,Empire,War,1729,1
11,Palladium,45,14332,4180,Carthage,14.2601389369108,Cook Depot,105,Ankou Blue Federal Holdings,Empire,Civil War,1916,1
12,Palladium,45,14332,4180,Carthage,14.2601389369108,Cook Depot,105,Ankou Blue Federal Holdings,Empire,Civil War,1916,1
13,Palladium,45,14332,4180,Carthage,14.2601389369108,Cook Depot,105,Ankou Blue Federal Holdings,Empire,Civil War,1788,2
14,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88115,Chapterhouse of Inquisition,Empire,Election,1744,2
15,Palladium,45,14283,63063,Sauraratec,19.9229227665646,Murakami Ring,88112,Chapterhouse of Inquisition,Empire,None,1739,2
16,Palladium,45,14267,439223,Bunuson,13.6883918088466,Arzachel Terminal,416,Bunuson Crimson Natural Inc,Empire,Civil Unrest,1723,1
17,Palladium,45,14267,439223,Bunuson,13.6883918088466,Arzachel Terminal,416,Bunuson Crimson Natural Inc,Empire,Civil Unrest,1723,1
18,Palladium,45,14267,439223,Bunuson,13.6883918088466,Arzachel Terminal,416,Bunuson Crimson Natural Inc,Empire,Civil Unrest,1723,1
19,Palladium,45,14267,439223,Bunuson,13.6883918088466,Arzachel Terminal,416,Bunuson Crimson Natural Inc,Empire,None,1723,1
20,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88110,Chapterhouse of Inquisition,Empire,Election,1744,1
21,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88109,Chapterhouse of Inquisition,Empire,Election,1744,1
22,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88099,Chapterhouse of Inquisition,Empire,None,1744,2
23,Palladium,45,14283,63063,Sauraratec,19.9229227665646,Murakami Ring,88098,Chapterhouse of Inquisition,Empire,None,1739,2
24,Palladium,45,14236,480485,Bunuson,13.6883918088466,Arzachel Terminal,416,Bunuson Crimson Natural Inc,Empire,Election,1692,2
25,Palladium,45,14236,480485,Bunuson,13.6883918088466,Arzachel Terminal,416,Bunuson Crimson Natural Inc,Empire,Election,1692,1
26,Palladium,45,14236,480485,Bunuson,13.6883918088466,Arzachel Terminal,416,Bunuson Crimson Natural Inc,Empire,Election,1692,1
27,Palladium,45,14236,480485,Bunuson,13.6883918088466,Arzachel Terminal,416,Bunuson Crimson Natural Inc,Empire,Election,1692,1
28,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88097,Chapterhouse of Inquisition,Empire,Election,1744,1
29,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88093,Chapterhouse of Inquisition,Empire,Election,1744,1
30,Palladium,45,14288,73668,Sauraratec,19.9229227665646,Murakami Ring,88092,Chapterhouse of Inquisition,Empire,Election,1744,1
31,Gold,42,11097,76643,Sauraratec,19.9229227665646,Murakami Ring,88098,Chapterhouse of Inquisition,Empire,None,1773,90
