,item,commod,sell_price,demand,system,ly,station,ls,faction,allegiance,state,margin,supply
1,Basic Medicines,33,1886,1462,Potriti,5.32498532861829,Hartsfield Plant,167,Social Potriti Future,Federation,War,1507,80834
2,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14072,TitanStar Alliance,Independent,Civil War,1613,80834
3,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14071,TitanStar Alliance,Independent,Civil War,1622,80894
4,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14071,TitanStar Alliance,Independent,Civil War,1622,80894
5,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14070,TitanStar Alliance,Independent,Civil War,1622,80894
6,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14069,TitanStar Alliance,Independent,Civil War,1622,80894
7,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14068,TitanStar Alliance,Independent,Civil War,1622,80894
8,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1569,80894
9,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1569,80894
10,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1569,80894
11,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1569,80894
12,Basic Medicines,33,4673,949491,LHS 3447,4.16270645133668,Lawson Orbital,3596,Future of LHS 3447,Federation,Outbreak,4303,80894
13,Basic Medicines,33,4673,949491,LHS 3447,4.16270645133668,Lawson Orbital,3601,Future of LHS 3447,Federation,Outbreak,4303,80894
14,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1569,80894
15,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1569,80894
16,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1569,80894
17,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1569,80894
18,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1693,144091
19,Basic Medicines,33,1939,3376,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,War,1693,144091
20,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14056,TitanStar Alliance,Independent,Civil War,1746,144091
21,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14055,TitanStar Alliance,Independent,Civil War,1746,144091
22,Basic Medicines,33,4673,67600,LHS 3447,4.16270645133668,Leinster Survey,2747,LHS 3447 Cartel,Independent,Outbreak,4427,144091
23,Basic Medicines,33,4673,67600,LHS 3447,4.16270645133668,Leinster Survey,2749,LHS 3447 Cartel,Independent,Outbreak,4427,144091
24,Basic Medicines,33,4673,67600,LHS 3447,4.16270645133668,Leinster Survey,2750,LHS 3447 Cartel,Independent,Outbreak,4427,144091
25,Basic Medicines,33,4673,67600,LHS 3447,4.16270645133668,Leinster Survey,2751,LHS 3447 Cartel,Independent,Outbreak,4427,144091
26,Basic Medicines,33,4673,67600,LHS 3447,4.16270645133668,Leinster Survey,2752,LHS 3447 Cartel,Independent,Outbreak,4427,144091
27,Basic Medicines,33,4673,67600,LHS 3447,4.16270645133668,Leinster Survey,2753,LHS 3447 Cartel,Independent,Outbreak,4427,144091
28,Basic Medicines,33,4673,67600,LHS 3447,4.16270645133668,Leinster Survey,2754,LHS 3447 Cartel,Independent,Outbreak,4427,144091
29,Basic Medicines,33,1939,3166,Frigaha,6.68384830206371,Engle Orbital,75,Frigaha Gold Netcoms Ltd,Federation,Civil War,1693,144091
30,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14046,TitanStar Alliance,Independent,Civil War,1746,144091
31,Basic Medicines,33,1992,2446,Kini,4.72991229437714,Kadenyuk Orbital,14045,TitanStar Alliance,Independent,Civil War,1746,144091
